plot_id,plot_type
"1","Spectab exclosure"
"2","Control"
"3","Long-term Krat Exclosure"
"4","Control"
"5","Rodent Exclosure"
"6","Short-term Krat Exclosure"
"7","Rodent Exclosure"
"8","Control"
"9","Spectab exclosure"
"10","Rodent Exclosure"
"11","Control"
"12","Control"
"13","Short-term Krat Exclosure"
"14","Control"
"15","Long-term Krat Exclosure"
"16","Rodent Exclosure"
"17","Control"
"18","Short-term Krat Exclosure"
"19","Long-term Krat Exclosure"
"20","Short-term Krat Exclosure"
"21","Long-term Krat Exclosure"
"22","Control"
"23","Rodent Exclosure"
"24","Rodent Exclosure"
